window_index,flight_id,label,attacked,attack_type,attack_start_time
0,239,0,False,normal,
1,76,0,True,step,165.52877740850676
2,238,0,False,normal,
3,250,0,False,normal,
4,112,0,True,takeover_ramp,123.96392069259976
5,123,0,True,delay,158.26730028372296
6,123,0,True,delay,158.26730028372296
7,254,0,True,drift_ramp,94.50622501263359
8,254,0,True,drift_ramp,94.50622501263359
9,238,0,False,normal,
10,258,0,True,drift_sigmoid,128.36090134328924
11,134,0,False,normal,
12,118,0,False,normal,
13,112,1,True,takeover_ramp,123.96392069259976
14,136,0,False,normal,
15,18,0,False,normal,
16,212,0,True,drift_sigmoid,79.90523467535208
17,110,0,True,step,84.5364701054331
18,212,0,True,drift_sigmoid,79.90523467535208
19,123,0,True,delay,158.26730028372296
20,276,0,True,takeover_step,113.5829416248078
21,197,0,True,drift_sigmoid,115.19058430867969
22,154,0,False,normal,
23,238,0,False,normal,
24,108,0,True,step,75.3845071838438
25,238,0,False,normal,
26,212,1,True,drift_sigmoid,79.90523467535208
27,123,0,True,delay,158.26730028372296
28,112,0,True,takeover_ramp,123.96392069259976
29,170,0,False,normal,
30,123,0,True,delay,158.26730028372296
31,112,0,True,takeover_ramp,123.96392069259976
32,179,0,True,takeover_step,122.10788111664908
33,264,0,True,delay,123.68174203500719
34,95,0,True,step,58.56240426323088
35,123,0,True,delay,158.26730028372296
36,131,0,True,drift_ramp,182.0752846677721
37,123,0,True,delay,158.26730028372296
38,169,0,True,takeover_ramp,97.420297603735
39,118,0,False,normal,
40,165,0,True,drift_sigmoid,147.15736833345036
41,184,0,True,drift_ramp,75.24008074312675
42,214,0,False,normal,
43,170,0,False,normal,
44,118,0,False,normal,
45,279,0,True,drift_ramp,90.42971961610978
46,212,0,True,drift_sigmoid,79.90523467535208
47,131,0,True,drift_ramp,182.0752846677721
48,170,0,False,normal,
49,170,0,False,normal,
50,150,0,False,normal,
51,224,0,True,takeover_step,93.79210260555345
52,131,0,True,drift_ramp,182.0752846677721
53,95,0,True,step,58.56240426323088
54,214,0,False,normal,
55,95,0,True,step,58.56240426323088
56,254,0,True,drift_ramp,94.50622501263359
57,239,0,False,normal,
58,110,1,True,step,84.5364701054331
59,214,0,False,normal,
60,238,0,False,normal,
61,238,0,False,normal,
